,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,Tissue,source_ct,source_state,target_ct,target_state,ligand_mean,ligand_pct,receptor_mean,receptor_pct,rank_within_tissue,percentile,gene_name,cell_type,logFC,FDR,l_sasp_group,target_ct_cat,source_ct_cat
8088,Mono+mac_Sc,Mono+mac_NSc,HLA-DQA1,CD4,1.369688,0.0,0.89473987,1.9919242304358087,2.102692398206623,0.34874254,0.9110369,7.502173440434694e-08,0.00044156522831625944,Kidney,Monocytes / macrophages,Sc,Monocytes / macrophages,NSc,2.3602967,0.8601769911504369,0.3790794,0.1608518350702311,610.0,0.07112848640448127,HLA-DQA1,Mono+mac,2.7847315005829145,8.17874695000995e-05,Immune interface,Immune,Immune
8089,Epithelial cell_Sc,CD4T_NSc,HLA-B,CD3D,1.315532,0.0,1.5514781,0.281717549989513,0.2512102591540396,0.012399128,0.93096304,5.323913541933754e-05,0.0004742196294410109,Kidney,Epithelial cells,Sc,CD4 T cells,NSc,0.8922753,0.3599999999999907,1.7387887,0.5813148788927266,636.0,0.07416267942583732,HLA-B,Epithelial cell,1.34095933148937,0.005591809449204,Immune interface,Immune,Epithelial
8090,Mono+mac_Sc,Endothelial cell_NSc,CD14,ITGB1,1.3089082,0.0,1.4870542,1.349567466832903,1.6196946242618282,0.16353616,0.9295876,1.6527380658923149e-06,0.0004899252885053241,Kidney,Monocytes / macrophages,Sc,Endothelial cells,NSc,0.8333175,0.34513274336283356,1.7844989,0.7390888818094763,644.0,0.07515462714435757,CD14,Mono+mac,0.9565781238529688,0.0205262117225357,Immune interface,Endothelial,Immune
8091,Mono+mac_Sc,Mono+mac_NSc,HLA-DMA,CD4,1.2672136,0.0,0.81704795,1.595455018762503,1.8036741237172467,0.27010491,0.9072865,1.3373707871554645e-06,0.0005941413546956152,Kidney,Monocytes / macrophages,Sc,Monocytes / macrophages,NSc,2.1553478,0.8442477876106143,0.3790794,0.1608518350702311,706.0,0.08239001050297584,HLA-DMA,Mono+mac,1.5531415714501478,8.17874695000995e-05,Immune interface,Immune,Immune
8092,Mono+mac_Sc,Mono+mac_NSc,GRN,TNFRSF1B,1.2097825,0.0,1.3731087,1.1454423208294036,1.545121283785027,0.12811524,0.9269335,1.6527380658923149e-06,0.0007612711009244097,Kidney,Monocytes / macrophages,Sc,Monocytes / macrophages,NSc,1.5105561,0.6353982300884953,0.9090088,0.37199818758496445,816.0,0.09522698097794376,GRN,Mono+mac,0.8602020860906147,0.0005410896473867,Pro-inflammatory SASP,Immune,Immune
8093,Mono+mac_Sc,Endothelial cell_NSc,CD99,CD81,1.2010176,0.0,1.086205,0.6710934545163897,0.7785735166720253,0.032850455,0.9185882,1.2827207430886872e-05,0.0007837743200266912,Kidney,Monocytes / macrophages,Sc,Endothelial cells,NSc,0.6041606,0.27610619469026665,1.7978747,0.7441860465116101,832.0,0.09709417668339362,CD99,Mono+mac,1.3868926939254815,0.0027452676728039,Immune interface,Endothelial,Immune
8094,Mono+mac_Sc,Endothelial cell_NSc,CXCL8,KDR,1.1875937,0.0,1.4092042,1.7760651083196426,2.3037616099112848,0.3912001,0.92780733,1.197287896507135e-07,0.0008311299275064062,Kidney,Monocytes / macrophages,Sc,Endothelial cells,NSc,1.1533233,0.42477876106194923,1.221864,0.5189550812360711,855.0,0.09977827050997783,CXCL8,Mono+mac,0.4919045840850429,0.0192184205770288,Pro-inflammatory SASP,Endothelial,Immune
8095,Epithelial cell_Sc,CD8T_NSc,B2M,KLRC2,1.1824503,1.0,0.72649026,0.058616869664926186,0.2863092409769591,0.025445627,0.9022262,0.0028185642311106527,0.0008574150441546741,Kidney,Epithelial cells,Sc,CD8 T cells,NSc,2.0020225,0.7302399999999757,0.36287817,0.12421242124212273,869.0,0.10141206675224647,B2M,Epithelial cell,0.9190143251173016,0.0069504488651682,Immune interface,Immune,Epithelial
8096,Mono+mac_Sc,CD8T_NSc,HLA-DRA,LAG3,1.7101816,0.0,0.6787156,1.2164829716510017,1.6586935199439021,0.13289423,0.89918464,1.6527380658923149e-06,0.0008728184191323095,Kidney,Monocytes / macrophages,Sc,CD8 T cells,NSc,3.2088494,0.9982300884955664,0.2115137,0.07785778577857763,876.0,0.10217061500758548,HLA-DRA,Mono+mac,1.7342095444935028,6.86423455437437e-05,Immune interface,Immune,Immune
8098,Epithelial cell_Sc,Endothelial cell_NSc,LGALS3,ENG,1.1499915,0.0,1.2076427,1.039088985750675,1.6094550706773352,0.14473473,0.9224642,1.6527380658923149e-06,0.000982962648021167,Kidney,Epithelial cells,Sc,Endothelial cells,NSc,0.81111443,0.3356799999999917,1.4888685,0.6301369863013655,924.0,0.10783055198973042,LGALS3,Epithelial cell,1.1947353110628212,0.0083465958294356,Pro-inflammatory SASP,Endothelial,Epithelial
8099,Mono+mac_Sc,CD8T_NSc,HLA-DPA1,LAG3,1.6241107,0.0,0.64230525,1.249151131614347,1.6646905374828687,0.13592216,0.8966577,1.6527380658923149e-06,0.0010130275452314224,Kidney,Monocytes / macrophages,Sc,CD8 T cells,NSc,3.0367076,0.9893805309734427,0.2115137,0.07785778577857763,937.0,0.10934764850040844,HLA-DPA1,Mono+mac,1.5545008036450711,3.0581460565139755e-05,Immune interface,Immune,Immune
8100,Mono+mac_Sc,CD8T_NSc,HLA-DRB1,LAG3,1.6186631,0.0,0.64000076,1.1074722681941978,1.510347252214702,0.117635705,0.8964911,1.6527380658923149e-06,0.0010206140201823649,Kidney,Monocytes / macrophages,Sc,CD8 T cells,NSc,3.0258124,0.9911504424778674,0.2115137,0.07785778577857763,941.0,0.10981444742677092,HLA-DRB1,Mono+mac,1.6470549012783462,5.9964226176240806e-05,Immune interface,Immune,Immune
8101,Mono+mac_Sc,CD8T_NSc,HLA-DPB1,LAG3,1.5955455,0.0,0.6302214,1.2412280415393144,1.6542242894637251,0.14082415,0.8957745,1.6527380658923149e-06,0.001068277280367617,Kidney,Monocytes / macrophages,Sc,CD8 T cells,NSc,2.9795773,0.980530973451319,0.2115137,0.07785778577857763,960.0,0.11209009219278795,HLA-DPB1,Mono+mac,1.8956846877770412,3.930556390358888e-05,Immune interface,Immune,Immune
8102,Mono+mac_Sc,NK_NSc,CD14,ITGB2,1.1213124,0.0,1.1744004,1.345139864182328,1.7955962482069254,0.14947626,0.92146003,1.6527380658923149e-06,0.0011122558453573483,Kidney,Monocytes / macrophages,Sc,NK cells,NSc,0.8333175,0.34513274336283356,1.4093072,0.497297297297302,979.0,0.11424903722721438,CD14,Mono+mac,0.9565781238529688,0.0205262117225357,Immune interface,Immune,Immune
8105,Mono+mac_Sc,Mono+mac_NSc,CD14,ITGB2,1.0572715,0.0,1.0676675,1.2791333408669803,1.571257649598218,0.13589144,0.9179423,1.6527380658923149e-06,0.001334903717995891,Kidney,Monocytes / macrophages,Sc,Monocytes / macrophages,NSc,0.8333175,0.34513274336283356,1.2812253,0.509741730856382,1104.0,0.12877815381024624,CD14,Mono+mac,0.9565781238529688,0.0205262117225357,Immune interface,Immune,Immune
8106,Epithelial cell_Sc,CD8T_NSc,B2M,KLRC1,1.1385417,1.0,0.55067796,-0.07064014736487176,0.03330482244774535,0.011747449,0.8893059,0.004039294813712725,0.0014249303444878482,Kidney,Epithelial cells,Sc,CD8 T cells,NSc,2.0020225,0.7302399999999757,0.27506083,0.09428442844284361,1150.0,0.13420469132920995,B2M,Epithelial cell,0.9190143251173016,0.0069504488651682,Immune interface,Immune,Epithelial
8110,Mono+mac_Sc,CD8T_NSc,HLA-DQB1,LAG3,1.3166736,0.0,0.51225096,1.734258009114682,1.9509033985505728,0.20465817,0.88569504,5.526405098359761e-07,0.001657891378014724,Kidney,Monocytes / macrophages,Sc,CD8 T cells,NSc,2.4218335,0.8902654867256574,0.2115137,0.07785778577857763,1279.0,0.14920060683860428,HLA-DQB1,Mono+mac,2.334217291669101,0.0001968877790865,Immune interface,Immune,Immune
8111,Epithelial cell_Sc,NK_NSc,B2M,KLRC2,1.1276077,1.0,0.5068977,-0.056890643953610015,-0.038753578854117676,0.017754307,0.8851623,0.003943777409240701,0.001708541295720831,Kidney,Epithelial cells,Sc,NK cells,NSc,2.0020225,0.7302399999999757,0.2531928,0.09090909090909109,1309.0,0.1528182985179134,B2M,Epithelial cell,0.9190143251173016,0.0069504488651682,Immune interface,Immune,Epithelial
8113,Mono+mac_Sc,CD8T_NSc,GRN,TNFRSF1B,0.98768914,0.0,0.70214003,0.8366795863352697,1.3011546458217231,0.0655118,0.90071213,1.9425408359921492e-06,0.001716400435237386,Kidney,Monocytes / macrophages,Sc,CD8 T cells,NSc,1.5105561,0.6353982300884953,0.4648222,0.16944194419441946,1316.0,0.15363519663904773,GRN,Mono+mac,0.8602020860906147,0.0005410896473867,Pro-inflammatory SASP,Immune,Immune
8115,Mono+mac_Sc,CD8T_NSc,HLA-DQA1,LAG3,1.2859052,0.0,0.4992351,1.7906266436395202,1.9919665290447846,0.21198809,0.8843858,2.5873189682043885e-07,0.0017819211753187926,Kidney,Monocytes / macrophages,Sc,CD8 T cells,NSc,2.3602967,0.8601769911504369,0.2115137,0.07785778577857763,1357.0,0.15836153576846773,HLA-DQA1,Mono+mac,2.7847315005829145,8.17874695000995e-05,Immune interface,Immune,Immune
8116,Mono+mac_Sc,NK_NSc,GRN,TNFRSF1B,0.9769355,0.0,0.6696519,0.8217293408491115,1.2071054759305122,0.062480565,0.8985736,2.2852186827360563e-06,0.0018100850392133647,Kidney,Monocytes / macrophages,Sc,NK cells,NSc,1.5105561,0.6353982300884953,0.44331485,0.16314496314496243,1368.0,0.15964523281596452,GRN,Mono+mac,0.8602020860906147,0.0005410896473867,Pro-inflammatory SASP,Immune,Immune
8117,Epithelial cell_Sc,CD4T_NSc,B2M,KLRD1,1.1223962,1.0,0.48603085,-0.3380074733975983,-0.7411243389393405,0.0030313332,0.88300836,0.004825076893082607,0.001883510266729733,Kidney,Epithelial cells,Sc,CD4 T cells,NSc,2.0020225,0.7302399999999757,0.24276993,0.08007909045971338,1410.0,0.16448827167697513,B2M,Epithelial cell,0.9190143251173016,0.0069504488651682,Immune interface,Immune,Epithelial
8118,Epithelial cell_Sc,Mono+mac_NSc,HLA-C,LILRB2,0.95824397,0.0,0.9152052,0.7896342018659285,0.5685366317828429,0.042732626,0.9119492,6.9473607741698335e-06,0.001975214423953552,Kidney,Epithelial cells,Sc,Monocytes / macrophages,NSc,0.9032325,0.3820799999999898,1.0132554,0.4145899410965212,1455.0,0.16979810946434823,HLA-C,Epithelial cell,0.6632227244561216,0.0256410499107082,Immune interface,Immune,Epithelial
8119,Epithelial cell_Sc,Mono+mac_NSc,HLA-B,LILRB2,0.95276535,0.0,0.9041027,0.8044027296803642,0.5705413319236143,0.041353047,0.91145796,7.618503300749725e-06,0.002015480930932284,Kidney,Epithelial cells,Sc,Monocytes / macrophages,NSc,0.8922753,0.3599999999999907,1.0132554,0.4145899410965212,1475.0,0.17207375423036528,HLA-B,Epithelial cell,1.34095933148937,0.005591809449204,Immune interface,Immune,Epithelial
8120,Mono+mac_Sc,Endothelial cell_NSc,GRN,TNFRSF1A,0.9454012,0.0,0.57438344,0.8662305455072734,1.1163324283728064,0.114548996,0.8913635,1.6527380658923149e-06,0.002051849655719246,Kidney,Monocytes / macrophages,Sc,Endothelial cells,NSc,1.5105561,0.6353982300884953,0.38024634,0.19910799617712482,1494.0,0.1743493989963823,GRN,Mono+mac,0.8602020860906147,0.0005410896473867,Pro-inflammatory SASP,Endothelial,Immune
8122,Mono+mac_Sc,Mono+mac_NSc,HLA-DMB,CD4,0.93058443,0.0,0.5618296,1.6184173566281599,1.7466023255784324,0.2793426,0.89028883,1.189588656171893e-06,0.0021783525785318875,Kidney,Monocytes / macrophages,Sc,Monocytes / macrophages,NSc,1.4820895,0.6247787610619469,0.3790794,0.1608518350702311,1551.0,0.1810596335628428,HLA-DMB,Mono+mac,1.9699190595831784,8.714896384297983e-05,Immune interface,Immune,Immune
