,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,Tissue,source_ct,source_state,target_ct,target_state,ligand_mean,ligand_pct,receptor_mean,receptor_pct,rank_within_tissue,percentile,gene_name,cell_type,logFC,FDR,l_sasp_group,target_ct_cat,source_ct_cat
16043,Goblet cell_Sc,Paneth cell_NSc,APOA1,LRP1,0.8553135,0.0,0.5103143,0.529259363645626,0.7141426881163871,0.014407666,0.86860925,0.00034262482711410017,0.0063992090005848025,Ileum,Goblet cells,Sc,Paneth cells,NSc,1.3256824,0.6129198966408196,0.3849446,0.31902439024390267,5382.0,0.1106815284004442,APOA1,Goblet cell,2.9150998167512974,1.4659073582097317e-15,ECM and remodeling,Epithelial,Epithelial
16044,Goblet cell_Sc,Fibroblast_NSc,CNTN4,PTPRG,0.85520315,0.0,0.6374918,0.45346177151201633,0.5235942316932305,0.013675239,0.88079447,0.0003871858862493767,0.006404365739185496,Ileum,Goblet cells,Sc,Fibroblasts,NSc,0.54880375,0.3648578811369535,1.1616025,0.601834862385318,5386.0,0.11076378891950808,CNTN4,Goblet cell,0.4358555008590671,0.0007114226174693,Growth / angiogenesis / development,Mesenchymal & Stromal,Epithelial
16045,Goblet cell_Sc,Goblet cell_NSc,MDK,SORL1,0.85465455,0.0,0.72895145,0.522060752620132,0.7583457288712324,0.035795677,0.8876549,4.521065851434627e-05,0.006428454533576543,Ileum,Goblet cells,Sc,Goblet cells,NSc,0.89316267,0.579844961240306,0.8161464,0.4660002630540698,5398.0,0.11100028791181672,MDK,Goblet cell,0.4673725748878429,0.0001451614807039,Growth / angiogenesis / development,Epithelial,Epithelial
16049,Plasma cell_Sc,Goblet cell_NSc,APOB,LDLR,0.85202444,0.0,0.7168812,0.48314955646517366,0.9649552603150238,0.019013392,0.88681966,0.00016453164028946914,0.006554778873388515,Ileum,Plasma cells,Sc,Goblet cells,NSc,0.7568168,0.32701421800947916,0.9472321,0.5042746284361552,5460.0,0.11228560852218977,APOB,Plasma cell,3.90001271444507,9.74624215577187e-07,ECM and remodeling,Epithelial,Immune
16050,B cell_Sc,Paneth cell_NSc,CD55,ADGRE5,0.8515525,0.0,0.45892566,0.08502561984879056,-0.009127546210002502,0.008232568,0.86243325,0.001324456165058757,0.006579143311540966,Ileum,B cells,Sc,Paneth cells,NSc,1.3675137,0.6530612244898014,0.3355913,0.2614634146341465,5472.0,0.1125323900793814,CD55,B cell,0.3450357846637269,0.0008767204204155,Immune interface,Epithelial,Immune
16051,Goblet cell_Sc,B cell_NSc,HBEGF,CD44,0.85133874,0.0,0.5239931,0.49750613472965144,0.7583524082093912,0.02110319,0.87011135,0.00012060389722991682,0.006586112978128765,Ileum,Goblet cells,Sc,B cells,NSc,0.4032488,0.30284237726098395,1.2994287,0.6212500000000103,5473.0,0.11255295520914738,HBEGF,Goblet cell,1.247016024234605,1.2959128496599689e-12,Growth / angiogenesis / development,Immune,Epithelial
16053,Plasma cell_Sc,Crypt stem cell_NSc,APOA1,LDLR,0.8496573,0.0,0.6595047,0.2225344502020355,0.3718803029958846,0.010943244,0.88256514,0.0006299298134724095,0.006663014603470461,Ileum,Plasma cells,Sc,Crypt stem cells,NSc,1.099483,0.48815165876777467,0.59983164,0.41354212615793745,5516.0,0.11343725578908403,APOA1,Plasma cell,3.6955134787593935,1.0944851211562876e-05,ECM and remodeling,Epithelial,Immune
16054,Goblet cell_Sc,B cell_NSc,VEGFA,CD44,0.8491234,0.0,0.5182357,0.5793759062488429,0.8281590714538286,0.029478967,0.86948574,3.8572049290217025e-05,0.006691087790151975,Ileum,Goblet cells,Sc,B cells,NSc,0.3988181,0.32299741602067406,1.2994287,0.6212500000000103,5527.0,0.11366347221650969,VEGFA,Goblet cell,0.4344136270267127,0.0002347879704429,Growth / angiogenesis / development,Immune,Epithelial
16055,Goblet cell_Sc,Paneth cell_NSc,APOC3,LDLR,0.8491198,0.0,0.71782494,0.4984649186074684,0.6383310452470489,0.024705123,0.8868857,7.153431976453759e-05,0.006692844791127549,Ileum,Goblet cells,Sc,Paneth cells,NSc,0.9055059,0.4552971576227424,0.7927336,0.5292682926829272,5528.0,0.11368403734627565,APOC3,Goblet cell,2.7820307614210504,8.928369081623895e-15,ECM and remodeling,Epithelial,Epithelial
16056,Goblet cell_Sc,Goblet cell_NSc,SPINT1,ST14,0.8484598,0.0,0.68754345,0.43675295080323273,0.5736690443308889,0.032396767,0.88470566,8.421974767276432e-05,0.006733306551330976,Ileum,Goblet cells,Sc,Goblet cells,NSc,0.668625,0.5033591731266185,1.0282946,0.5685913455214912,5547.0,0.11407477481182907,SPINT1,Goblet cell,0.4072183072699986,2.399139286492177e-06,ECM and remodeling,Epithelial,Epithelial
16059,Goblet cell_Sc,Goblet cell_NSc,SEMA6A,PLXNA2,0.84730643,0.0,0.6846244,0.5091299433284412,0.7255521720705788,0.027922735,0.8844885,4.953073911733253e-05,0.006784493456567232,Ileum,Goblet cells,Sc,Goblet cells,NSc,1.0297998,0.6496124031007643,0.66481304,0.39195054583717936,5578.0,0.1147122938345741,SEMA6A,Goblet cell,0.3201685053790365,7.070999253206136e-05,Growth / angiogenesis / development,Epithelial,Epithelial
16060,B cell_Sc,Fibroblast_NSc,HLA-DRA,CD4,1.3740932,0.0,0.4421388,1.384331834491813,1.0905718881829773,0.09473993,0.8602077,3.5720088119718455e-05,0.0068128162185846185,Ileum,B cells,Sc,Fibroblasts,NSc,2.5765877,0.9680567879325873,0.17159858,0.10091743119266056,5586.0,0.11487681487270185,HLA-DRA,B cell,0.3934048370096284,3.487927327575861e-06,Immune interface,Mesenchymal & Stromal,Immune
16061,Plasma cell_Sc,Goblet cell_NSc,APOA4,LDLR,0.8463433,0.0,0.7061184,0.4511222633237275,0.9519464937042437,0.019761493,0.8860583,0.0001469743508011618,0.006830546984196095,Ileum,Plasma cells,Sc,Goblet cells,NSc,0.74545443,0.3199052132701426,0.9472321,0.5042746284361552,5593.0,0.11502077078106362,APOA4,Plasma cell,4.088236896338768,1.0061446181766778e-06,ECM and remodeling,Epithelial,Immune
16063,Crypt stem cell_Sc,Fibroblast_NSc,TFF3,ACKR3,0.8681355,0.0,0.4383324,0.9158589406599646,0.19014706611211712,0.05460793,0.85968703,0.0002507904673394086,0.006932045784094112,Ileum,Crypt stem cells,Sc,Fibroblasts,NSc,1.4296752,0.8264705882352915,0.3065958,0.1834862385321101,5636.0,0.11591535392588327,TFF3,Crypt stem cell,0.8629599833799335,8.69553376099595e-06,Growth / angiogenesis / development,Mesenchymal & Stromal,Epithelial
16064,Goblet cell_Sc,Plasma cell_NSc,CD55,ADGRE5,0.841078,0.0,0.5149861,0.08760446220391296,0.133318898608334,0.009107772,0.8691284,0.0013029661535028851,0.007045081877969914,Ileum,Goblet cells,Sc,Plasma cells,NSc,1.279742,0.6780361757105806,0.402414,0.20695364238410405,5688.0,0.11697445810883067,CD55,Goblet cell,0.4744294473417694,9.369100751192118e-07,Immune interface,Immune,Epithelial
16066,Goblet cell_Sc,gdT_NSc,APOA1,LDLR,0.8406806,0.0,0.47151718,0.18887294210607358,0.3422284727723828,0.008722122,0.864031,0.0009610252870521145,0.007064909577969612,Ileum,Goblet cells,Sc,γδ T cells,NSc,1.3256824,0.6129198966408196,0.35567883,0.18568665377175986,5696.0,0.11713897914695842,APOA1,Goblet cell,2.9150998167512974,1.4659073582097317e-15,ECM and remodeling,Immune,Epithelial
16067,Goblet cell_Sc,gdT_NSc,APOA1,ABCA1,0.84049624,0.0,0.47102836,0.6451303309601975,0.9120865026454503,0.020617569,0.8639701,0.0001294287266159902,0.007075736953863373,Ileum,Goblet cells,Sc,γδ T cells,NSc,1.3256824,0.6129198966408196,0.3553101,0.17794970986460323,5700.0,0.1172212396660223,APOA1,Goblet cell,2.9150998167512974,1.4659073582097317e-15,ECM and remodeling,Immune,Epithelial
16068,Goblet cell_Sc,Goblet cell_NSc,FAM3B,LRP5,0.83989143,0.0,0.68749124,0.48765670934914035,0.678140138964755,0.041935615,0.8847018,5.7837191028203484e-05,0.0071046487629317905,Ileum,Goblet cells,Sc,Goblet cells,NSc,0.9737808,0.6542635658914615,0.70600206,0.4236485597790454,5714.0,0.11750915148274585,FAM3B,Goblet cell,0.1702841932387072,0.0205104216579838,Growth / angiogenesis / development,Epithelial,Epithelial
16069,Goblet cell_Sc,Plasma cell_NSc,HLA-C,LILRB1,0.92386055,0.0,0.43134522,0.14549769673995205,0.1264922444550114,0.023749752,0.85871506,0.0008926806176063912,0.007149939194364836,Ileum,Goblet cells,Sc,Plasma cells,NSc,1.573609,0.837726098191185,0.27411208,0.15149006622516523,5730.0,0.11783819355900135,HLA-C,Goblet cell,0.201438868429418,0.0098672812619957,Immune interface,Immune,Epithelial
16070,Plasma cell_Sc,B cell_NSc,LAMA3,CD44,0.83779836,0.0,0.48880345,0.3139584990870832,0.6070817760473004,0.0131075075,0.86613214,0.0004251703960809749,0.007231816626648468,Ileum,Plasma cells,Sc,B cells,NSc,0.37616795,0.20142180094786707,1.2994287,0.6212500000000103,5762.0,0.11849627771151236,LAMA3,Plasma cell,3.6690356398492345,3.8410297553938957e-07,ECM and remodeling,Immune,Immune
16071,Plasma cell_Sc,Plasma cell_NSc,MDK,NCL,0.8369225,0.0,0.53400433,0.08974076724499502,0.1612762297303747,0.0069590597,0.871177,0.0013572611643487694,0.007273841776203594,Ileum,Plasma cells,Sc,Plasma cells,NSc,0.42895806,0.2654028436018956,1.244887,0.6030629139072716,5776.0,0.11879447209311891,MDK,Plasma cell,1.258157609829624,0.0016821797576269,Growth / angiogenesis / development,Immune,Immune
16076,Plasma cell_Sc,Goblet cell_NSc,MDK,TSPAN1,0.83003014,0.0,0.5280912,0.3668246388024921,0.6773003825361563,0.01970756,0.87055093,0.0001484944170098333,0.007606852057107512,Ileum,Plasma cells,Sc,Goblet cells,NSc,0.42895806,0.2654028436018956,1.2311022,0.6376430356437843,5912.0,0.12158104717640768,MDK,Plasma cell,1.258157609829624,0.0016821797576269,Growth / angiogenesis / development,Epithelial,Immune
16077,Goblet cell_Sc,gdT_NSc,HHLA2,TMIGD2,0.82897663,0.0,0.6524162,2.675253270064907,1.4330966061755572,0.08468539,0.88200396,3.5720088119718455e-05,0.007679966774111721,Ileum,Goblet cells,Sc,γδ T cells,NSc,0.64246655,0.40930232558139834,1.0154867,0.5048355899419708,5939.0,0.12213630568008885,HHLA2,Goblet cell,1.915751892299454,1.4337819707080135e-18,Immune interface,Immune,Epithelial
16078,Goblet cell_Sc,Paneth cell_NSc,HBEGF,CD9,0.8287966,0.0,0.5058129,0.4697499508609869,0.4771500518956713,0.01922059,0.86810285,0.0001586496419671063,0.007689365053321101,Ileum,Goblet cells,Sc,Paneth cells,NSc,0.4032488,0.30284237726098395,1.2543445,0.7468292682926835,5946.0,0.12226997902356763,HBEGF,Goblet cell,1.247016024234605,1.2959128496599689e-12,Growth / angiogenesis / development,Epithelial,Epithelial
16082,Plasma cell_Sc,B cell_NSc,MDK,NCL,0.8248378,0.0,0.52363664,0.07708757448970566,0.1505902066055842,0.0068239504,0.8700729,0.001395728672741437,0.00790326950988444,Ileum,Plasma cells,Sc,B cells,NSc,0.42895806,0.2654028436018956,1.2207175,0.6073437500000131,6030.0,0.124007732488792,MDK,Plasma cell,1.258157609829624,0.0016821797576269,Growth / angiogenesis / development,Immune,Immune
16084,Goblet cell_Sc,Fibroblast_NSc,LAMC2,CD44,0.8238226,0.0,0.65763056,0.49158535922041746,0.5510439065626702,0.029021623,0.88241756,5.587913288044901e-05,0.007949071239242995,Ileum,Goblet cells,Sc,Fibroblasts,NSc,0.6787256,0.4532299741602101,0.96891963,0.5247706422018341,6049.0,0.1243984699543454,LAMC2,Goblet cell,0.613034200918578,6.011314041261865e-09,ECM and remodeling,Mesenchymal & Stromal,Epithelial
16087,Goblet cell_Sc,Plasma cell_NSc,HLA-A,APLP2,1.0357344,1.0,0.4073962,-0.19656028724422409,-0.40755972036460014,0.0023206593,0.8552143,0.06982031397951673,0.008174205880168447,Ileum,Goblet cells,Sc,Plasma cells,NSc,1.851424,0.90180878552968,0.22004479,0.11920529801324543,6131.0,0.12607452803027186,HLA-A,Goblet cell,0.2666059041258319,0.0006282388420754,Immune interface,Immune,Epithelial
16090,Goblet cell_Sc,Plasma cell_NSc,LAMC2,CD44,0.81747925,0.0,0.6490197,0.4847326363803943,0.6308829361466985,0.028641623,0.8817321,5.9022566827117875e-05,0.008302561892933236,Ileum,Goblet cells,Sc,Plasma cells,NSc,0.6787256,0.4532299741602101,0.95623285,0.4739238410595932,6186.0,0.12720561016740015,LAMC2,Goblet cell,0.613034200918578,6.011314041261865e-09,ECM and remodeling,Immune,Epithelial
16100,B cell_Sc,B cell_NSc,FCER2,CR2,0.80769575,0.0,0.59327716,1.3699689489005897,1.6072788041510293,0.6820767,0.876969,3.5720088119718455e-05,0.008837838273165938,Ileum,B cells,Sc,B cells,NSc,1.0507909,0.5110913930789683,0.5646006,0.3003125000000032,6410.0,0.13182248179986017,FCER2,B cell,1.734659056446709,7.800863152119936e-10,Immune interface,Immune,Immune
16101,Goblet cell_Sc,Paneth cell_NSc,CD55,ADGRE5,0.80766666,0.0,0.42947027,0.04337566379611821,-0.0942176292907469,0.0075953845,0.8584506,0.00170527496209498,0.00883985175457267,Ileum,Goblet cells,Sc,Paneth cells,NSc,1.279742,0.6780361757105806,0.3355913,0.2614634146341465,6411.0,0.13184304692962612,CD55,Goblet cell,0.4744294473417694,9.369100751192118e-07,Immune interface,Epithelial,Epithelial
16102,B cell_Sc,Fibroblast_NSc,HLA-DRB1,CD4,1.2321578,0.0,0.39342698,1.379722265909366,1.0787681646338068,0.09229434,0.85304075,3.5720088119718455e-05,0.008853948286568315,Ileum,B cells,Sc,Fibroblasts,NSc,2.292717,0.9361135758651499,0.17159858,0.10091743119266056,6417.0,0.13196643770822195,HLA-DRB1,B cell,0.5177375055126435,2.9115219820878084e-06,Immune interface,Mesenchymal & Stromal,Immune
16104,Goblet cell_Sc,Goblet cell_NSc,TGFA,PTPRD,0.80263996,0.0,0.40943363,0.5777369073147385,0.8649201036367898,0.048707504,0.8555229,3.5720088119718455e-05,0.009132047707647627,Ileum,Goblet cells,Sc,Goblet cells,NSc,0.3180811,0.26511627906976915,1.2871988,0.6555307115611784,6535.0,0.13438284045572327,TGFA,Goblet cell,0.2132658986229827,0.0483349780519456,Growth / angiogenesis / development,Epithelial,Epithelial
16105,Goblet cell_Sc,Paneth cell_NSc,PRSS3,PARD3,0.8018874,0.0,0.64142406,0.14901016441886508,-0.011527676072644821,0.012293621,0.8811169,0.0011583435629850863,0.009177096128788198,Ileum,Goblet cells,Sc,Paneth cells,NSc,0.8418791,0.5116279069767469,0.76189566,0.5434146341463418,6557.0,0.13484555587545757,PRSS3,Goblet cell,1.0596726889003767,6.841125896687774e-15,ECM and remodeling,Epithelial,Epithelial
16106,Goblet cell_Sc,Crypt stem cell_NSc,APOA4,LDLR,0.80124974,0.0,0.6014319,0.3987278875287201,0.5644528093199758,0.018763987,0.87770355,0.00017181040898080346,0.009224310797892217,Ileum,Goblet cells,Sc,Crypt stem cells,NSc,1.0026679,0.4868217054263603,0.59983164,0.41354212615793745,6575.0,0.135215728211245,APOA4,Goblet cell,2.832566433428908,6.724932469370406e-15,ECM and remodeling,Epithelial,Epithelial
16107,Plasma cell_Sc,Plasma cell_NSc,HLA-A,APLP2,0.9866164,1.0,0.38577986,-0.251128721599492,-0.3960911638644408,0.0020891482,0.85180616,0.07274474769368405,0.00925516447180338,Ileum,Plasma cells,Sc,Plasma cells,NSc,1.7531879,0.8151658767772493,0.22004479,0.11920529801324543,6585.0,0.1354213795089047,HLA-A,Plasma cell,0.4641662007968065,0.0042601405573205,Immune interface,Immune,Immune
16109,Goblet cell_Sc,Paneth cell_NSc,TNFSF10,TNFRSF10B,0.7977443,0.0,0.6335935,0.47778936481611,0.46724615411685166,0.019020265,0.88047206,0.0001642621433807678,0.009414348930337454,Ileum,Goblet cells,Sc,Paneth cells,NSc,0.8506815,0.5839793281653702,0.744807,0.5156097560975613,6656.0,0.1368815037222885,TNFSF10,Goblet cell,0.3661973906471273,1.0863150503470352e-05,Pro-inflammatory SASP,Epithelial,Epithelial
16113,Goblet cell_Sc,Fibroblast_NSc,IL32,ITGB3,0.79122585,0.0,0.54223794,1.7546498147670786,0.9990754078038611,0.058047198,0.87203324,3.5720088119718455e-05,0.009819161528209195,Ileum,Goblet cells,Sc,Fibroblasts,NSc,1.0807089,0.5953488372092968,0.50174284,0.28990825688073396,6803.0,0.1399045777978859,IL32,Goblet cell,1.7758618845151135,6.923133303964224e-20,Pro-inflammatory SASP,Mesenchymal & Stromal,Epithelial
16114,B cell_Sc,Fibroblast_NSc,HLA-DPB1,CD4,1.1647654,0.0,0.3702981,1.4970966397400787,1.1933705101251704,0.15389305,0.84920233,3.5720088119718455e-05,0.010042891569520799,Ileum,B cells,Sc,Fibroblasts,NSc,2.157932,0.9068322981366655,0.17159858,0.10091743119266056,6886.0,0.14160120100357834,HLA-DPB1,B cell,0.5084265910716578,7.285466506614882e-06,Immune interface,Mesenchymal & Stromal,Immune
16117,Goblet cell_Sc,Crypt stem cell_NSc,APOB,LDLR,0.7870623,0.0,0.58441174,0.4109768865084916,0.540557193744493,0.017279366,0.8761544,0.00021619829948082322,0.010102968427629559,Ileum,Goblet cells,Sc,Crypt stem cells,NSc,0.974293,0.47751937984496484,0.59983164,0.41354212615793745,6910.0,0.14210504668284457,APOB,Goblet cell,2.927064206605961,4.910486217562161e-19,ECM and remodeling,Epithelial,Epithelial
16119,Plasma cell_Sc,Endothelial cell_NSc,MDK,NCL,0.78276813,0.131,0.4875444,0.033040190212737394,-0.026018436927557564,0.006353602,0.86598253,0.0017723574887127914,0.010358072055634134,Ileum,Plasma cells,Sc,Endothelial cells,NSc,0.42895806,0.2654028436018956,1.1365782,0.6560000000000012,6998.0,0.1439147781022498,MDK,Plasma cell,1.258157609829624,0.0016821797576269,Growth / angiogenesis / development,Endothelial,Immune
16120,Goblet cell_Sc,Paneth cell_NSc,SERPINA1,LRP1,0.7801139,0.0,0.4524189,0.6683678162524811,0.7229499594180634,0.02631492,0.86158395,5.804264545801077e-05,0.010513059498095933,Ileum,Goblet cells,Sc,Paneth cells,NSc,1.1752832,0.6578811369508927,0.3849446,0.31902439024390267,7055.0,0.14508699049891005,SERPINA1,Goblet cell,1.0541127452566592,1.5693566316303866e-10,ECM and remodeling,Epithelial,Epithelial
16121,Goblet cell_Sc,Paneth cell_NSc,APOB,LSR,0.7786162,0.0,0.5679538,0.5120596248472545,0.6518596276991232,0.02301009,0.8745963,9.165228221971392e-05,0.010607472689925932,Ileum,Goblet cells,Sc,Paneth cells,NSc,0.974293,0.47751937984496484,0.58293945,0.4619512195121955,7086.0,0.14572450952165508,APOB,Goblet cell,2.927064206605961,4.910486217562161e-19,ECM and remodeling,Epithelial,Epithelial
16122,Goblet cell_Sc,Endothelial cell_NSc,SEMA6A,PLXNA2,0.7783864,0.0,0.5426767,0.4091103304487969,0.44916010600575174,0.02213333,0.87207836,0.00010512684231910824,0.010614074655772004,Ileum,Goblet cells,Sc,Endothelial cells,NSc,1.0297998,0.6496124031007643,0.526973,0.3386666666666666,7090.0,0.14580677004071896,SEMA6A,Goblet cell,0.3201685053790365,7.070999253206136e-05,Growth / angiogenesis / development,Endothelial,Epithelial
16126,Goblet cell_Sc,Endothelial cell_NSc,APOB,ENO1,0.7779155,0.0,0.5665884,0.32337450450874416,0.4168081422436529,0.009263193,0.8744643,0.0008628124337836359,0.010660346770360629,Ileum,Goblet cells,Sc,Endothelial cells,NSc,0.974293,0.47751937984496484,0.581538,0.3839999999999997,7112.0,0.14625920289557026,APOB,Goblet cell,2.927064206605961,4.910486217562161e-19,ECM and remodeling,Endothelial,Epithelial
16127,Goblet cell_Sc,Goblet cell_NSc,APOB,LSR,0.7770196,0.0,0.56484276,0.5097377163385441,0.823460743681828,0.022884049,0.87429476,9.35014749160858e-05,0.010724408394928322,Ileum,Goblet cells,Sc,Goblet cells,NSc,0.974293,0.47751937984496484,0.5797463,0.3540707615415054,7138.0,0.14679389626948547,APOB,Goblet cell,2.927064206605961,4.910486217562161e-19,ECM and remodeling,Epithelial,Epithelial
16130,Goblet cell_Sc,Fibroblast_NSc,TFPI,LRP1,0.8261337,0.0,0.35707408,1.3257409151127884,1.0375715227420625,0.024938587,0.8468591,6.958138796383881e-05,0.010839744726453134,Ileum,Goblet cells,Sc,Fibroblasts,NSc,0.25567526,0.20775193798449731,1.3965923,0.7247706422018281,7180.0,0.14764734915477318,TFPI,Goblet cell,0.3081137489991092,0.0248043685395281,ECM and remodeling,Mesenchymal & Stromal,Epithelial
16131,Plasma cell_Sc,Paneth cell_NSc,APOB,LDLR,0.7747752,0.0,0.5999541,0.390103394112649,0.5765342865417238,0.015912207,0.87757146,0.0002675108800443031,0.010857542876481153,Ileum,Plasma cells,Sc,Paneth cells,NSc,0.7568168,0.32701421800947916,0.7927336,0.5292682926829272,7188.0,0.14783243532266688,APOB,Plasma cell,3.90001271444507,9.74624215577187e-07,ECM and remodeling,Epithelial,Immune
16132,Plasma cell_Sc,Goblet cell_NSc,APOC3,LDLR,0.77386343,0.0,0.56880784,0.3966638313366122,0.8070375137022325,0.01756053,0.8746787,0.0002070793649564075,0.010913252152502845,Ileum,Plasma cells,Sc,Goblet cells,NSc,0.6004947,0.2772511848341232,0.9472321,0.5042746284361552,7213.0,0.14832599843705013,APOC3,Plasma cell,3.927153268530108,2.102208427644758e-07,ECM and remodeling,Epithelial,Immune
16135,Goblet cell_Sc,Fibroblast_NSc,APOC3,SDC2,0.77002704,0.0,0.57458717,1.8097778269802949,1.2774842744683483,0.091708146,0.8752317,3.5720088119718455e-05,0.011092454477966862,Ileum,Goblet cells,Sc,Fibroblasts,NSc,0.9055059,0.4552971576227424,0.63454825,0.3504587155963303,7292.0,0.14996092625344465,APOC3,Goblet cell,2.7820307614210504,8.928369081623895e-15,ECM and remodeling,Mesenchymal & Stromal,Epithelial
16136,Plasma cell_Sc,Paneth cell_NSc,APOA4,LDLR,0.769094,0.0,0.5909468,0.35807610097120285,0.5635255199309437,0.016538288,0.8767565,0.00024198935114810364,0.01116679104363052,Ileum,Plasma cells,Sc,Paneth cells,NSc,0.74545443,0.3199052132701426,0.7927336,0.5292682926829272,7313.0,0.15039279397853,APOA4,Plasma cell,4.088236896338768,1.0061446181766778e-06,ECM and remodeling,Epithelial,Immune
16137,Paneth cell_Sc,Paneth cell_NSc,NECTIN3,NECTIN2,0.76756155,0.0,0.58560354,0.6814602786578094,0.5525261200909484,0.03218698,0.8762649,3.5720088119718455e-05,0.011243631662810822,Ileum,Paneth cells,Sc,Paneth cells,NSc,0.8271199,0.6769662921348294,0.7080032,0.5248780487804882,7344.0,0.15102003043639206,NECTIN3,Paneth cell,0.3137651319254118,0.007762960479959,Immune interface,Epithelial,Epithelial
16138,Goblet cell_Sc,Goblet cell_NSc,LGALS3BP,ITGB1,0.7674693,0.0,0.5835805,0.2619843394476984,0.28214395106281787,0.009132982,0.8760772,0.0008880031502565367,0.011252689029108254,Ileum,Goblet cells,Sc,Goblet cells,NSc,0.84114856,0.5839793281653702,0.69379,0.41365250558990924,7347.0,0.15108172582568996,LGALS3BP,Goblet cell,0.5689126894421874,1.0699237758766478e-08,ECM and remodeling,Epithelial,Epithelial
16140,B cell_Sc,Fibroblast_NSc,HLA-DQA1,CD4,1.1064422,0.0,0.35028175,1.540035640474182,1.2381425827375319,0.21768492,0.84560955,3.5720088119718455e-05,0.011266280585901763,Ileum,B cells,Sc,Fibroblasts,NSc,2.0412858,0.8757763975155458,0.17159858,0.10091743119266056,7352.0,0.1511948340394028,HLA-DQA1,B cell,0.4559418648857792,1.5421675758077103e-05,Immune interface,Mesenchymal & Stromal,Immune
16141,Paneth cell_Sc,Endothelial cell_NSc,THBS1,ITGA6,0.94178516,0.0,0.3496093,0.5948130386612941,0.5158769996035355,0.023780024,0.8454841,8.206486817960879e-05,0.011309376360239026,Ileum,Paneth cells,Sc,Endothelial cells,NSc,0.20874356,0.23314606741573074,1.6748267,0.8320000000000038,7370.0,0.15156500637519021,THBS1,Paneth cell,0.5554843425887647,0.0497141199340025,ECM and remodeling,Endothelial,Epithelial
16142,Goblet cell_Sc,gdT_NSc,LGALS3BP,ITGB1,0.7664855,0.0,0.58192545,0.2608118635195117,0.3191369137300897,0.009107081,0.875923,0.0008926806176063912,0.01131164507080837,Ileum,Goblet cells,Sc,γδ T cells,NSc,0.84114856,0.5839793281653702,0.69182247,0.3539651837524164,7372.0,0.1515958540698392,LGALS3BP,Goblet cell,0.5689126894421874,1.0699237758766478e-08,ECM and remodeling,Immune,Epithelial
16144,Goblet cell_Sc,Crypt stem cell_NSc,TNFSF10,TNFRSF10B,0.7650063,0.0,0.5778944,0.43147251966748235,0.47862027931826606,0.017348194,0.8755447,0.00021414634928205856,0.011404923013558124,Ileum,Goblet cells,Sc,Crypt stem cells,NSc,0.8506815,0.5839793281653702,0.6793311,0.46515218350245197,7409.0,0.15236704643606303,TNFSF10,Goblet cell,0.3661973906471273,1.0863150503470352e-05,Pro-inflammatory SASP,Epithelial,Epithelial
16145,Paneth cell_Sc,Goblet cell_NSc,MDK,SORL1,0.76390266,0.0,0.58081794,0.4020946627196489,0.5773688893143903,0.02666367,0.8758194,0.00011114025066973631,0.011489418571809743,Ileum,Paneth cells,Sc,Goblet cells,NSc,0.711659,0.5702247191011234,0.8161464,0.4660002630540698,7442.0,0.15305597828322295,MDK,Paneth cell,0.4742441724636685,0.0011947057081371,Growth / angiogenesis / development,Epithelial,Epithelial
16146,Goblet cell_Sc,Fibroblast_NSc,MDK,SDC2,0.76385546,0.0,0.5667548,1.7566170491679174,1.0610380667976196,0.08613272,0.87448037,3.5720088119718455e-05,0.011498571871882442,Ileum,Goblet cells,Sc,Fibroblasts,NSc,0.89316267,0.579844961240306,0.63454825,0.3504587155963303,7447.0,0.15314852136716983,MDK,Goblet cell,0.4673725748878429,0.0001451614807039,Growth / angiogenesis / development,Mesenchymal & Stromal,Epithelial
16148,Goblet cell_Sc,Goblet cell_NSc,GRN,EGFR,0.76301515,0.0,0.5681042,0.3698403690722128,0.5777952093418156,0.027463017,0.87461084,0.00014500212018257245,0.01156503774891683,Ileum,Goblet cells,Sc,Goblet cells,NSc,0.6443229,0.48268733850129564,0.8817074,0.49611995265028275,7472.0,0.15366264961131904,GRN,Goblet cell,0.1447797261448787,0.0387439929777996,Pro-inflammatory SASP,Epithelial,Epithelial
16149,B cell_Sc,Fibroblast_NSc,HLA-DPA1,CD4,1.0869339,0.0,0.34358653,1.4350548869414719,1.1294124679272206,0.13714989,0.8443456,3.5720088119718455e-05,0.01168468372770895,Ileum,B cells,Sc,Fibroblasts,NSc,2.002269,0.872227151730275,0.17159858,0.10091743119266056,7509.0,0.1544235594126599,HLA-DPA1,B cell,0.4366587028709706,1.5235262721125265e-05,Immune interface,Mesenchymal & Stromal,Immune
16151,Plasma cell_Sc,Fibroblast_NSc,LGALS3,ENG,0.76057345,0.082,0.4687354,0.5919980491641147,0.3179049422009802,0.011511729,0.8636831,0.0011744918421194219,0.011714688361350261,Ileum,Plasma cells,Sc,Fibroblasts,NSc,1.0918386,0.5379146919431297,0.42930833,0.24954128440366974,7522.0,0.15470118866450047,LGALS3,Plasma cell,2.0373016787062195,1.0599066732716195e-06,Pro-inflammatory SASP,Mesenchymal & Stromal,Immune
